ID_new,ID,Author,year,title,longtitude,latitude,longtitude_temp,latitude_temp,province,site,depth,annual mean precipitation,annual mean temperature,landuse type,field type,soil type,soil_ty temp,soilty_usda,reference,ph,ph_extractant,som,som_unit,soc,soc_unit,tc,tc_unit,clay,clay_hwsd,silt,sand,caco3[g/kg],Alox[mg/kg],Feox[mg/kg],Pox[mg/kg],ref,pcacl2,pcacl2_unit,polsen[mg/kg],ptotal[g/kg],Qmax[mg/kg],Qmax_unit,KL[L/mg],KL_unit,
68,68,"Fang, Di",2019,Paddy Cultivation Significantly Alters Phosphorus Sorption Characteristics and Loss Risk in a Calcareous Paddy Soil Chronosequence,121.98,41.3,,,Liaoning,"Panjin City, Liaoning Province ",0-20,,,cropland,Maize with paddy soil hoistory,Alfisol,,Alfisols,,8.2,h2o,20.55,g/kg,,,,,,,,,,2870,2710,,"Sparks et al., 1996",,,19.9,0.612,860.79,mg/kg,0.42,,
69,69,"Fang, Di",2019,Paddy Cultivation Significantly Alters Phosphorus Sorption Characteristics and Loss Risk in a Calcareous Paddy Soil Chronosequence,121.98,41.3,,,Liaoning,"Panjin City, Liaoning Province ",0-20,,,cropland,Maize with paddy soil hoistory,Alfisol,,Alfisols,,8.14,h2o,19.05,g/kg,,,,,,,,,,2910,2560,,"Sparks et al., 1996",,,24.8,0.681,834.45,mg/kg,0.377,,
70,70,Feng Liu,2013,Effect of a novel constructed drainage ditch on the P sorptio capacity of ditch soils in an agricultural headwater catachment in subtropical central China,,,,,Hunan,Changsha,0-5,,,ditch soils,,Anthrosols,,Inceptisols,Chinese soil system taxonomy,5.33,h2o,,,11.68,g/kg,,,28.2,,,,,293.5,1707.4,79,,,,7.39,0.494,444.9,mg/kg,0.557,L/mg,
71,71,Feng Liu,2013,Effect of a novel constructed drainage ditch on the P sorptio capacity of ditch soils in an agricultural headwater catachment in subtropical central China,,,,,Hunan,Changsha,5~15,,,ditch soils,,Anthrosols,,Inceptisols,Chinese soil system taxonomy,5.7,h2o,,,9.44,g/kg,,,31.3,,,,,362.7,1648.9,60.7,,,,5.47,0.408,423.4,mg/kg,0.778,L/mg,
72,72,Feng Liu,2013,Effect of a novel constructed drainage ditch on the P sorptio capacity of ditch soils in an agricultural headwater catachment in subtropical central China,,,,,Hunan,Changsha,0-5,,,ditch soils,,Anthrosols,,Inceptisols,Chinese soil system taxonomy,5.7,h2o,,,11.18,g/kg,,,24.9,,,,,294.1,1412.7,54.1,,,,5.98,0.492,520.9,mg/kg,0.457,L/mg,
73,73,Feng Liu,2013,Effect of a novel constructed drainage ditch on the P sorptio capacity of ditch soils in an agricultural headwater catachment in subtropical central China,,,,,Hunan,Changsha,5~15,,,ditch soils,,Anthrosols,,Inceptisols,Chinese soil system taxonomy,6.4,h2o,,,7.03,g/kg,,,40.3,,,,,326.2,1009.4,38.3,,,,3.41,0.364,510.3,mg/kg,0.328,L/mg,
74,74,Feng Liu,2013,Effect of a novel constructed drainage ditch on the P sorptio capacity of ditch soils in an agricultural headwater catachment in subtropical central China,,,,,Hunan,Changsha,0-5,,,ditch soils,,Anthrosols,,Inceptisols,Chinese soil system taxonomy,6.34,h2o,,,10.49,g/kg,,,42.9,,,,,422.7,2298,84,,,,5.97,0.58,612.3,mg/kg,0.965,L/mg,
75,75,Feng Liu,2013,Effect of a novel constructed drainage ditch on the P sorptio capacity of ditch soils in an agricultural headwater catachment in subtropical central China,,,,,Hunan,Changsha,5~15,,,ditch soils,,Anthrosols,,Inceptisols,Chinese soil system taxonomy,6.57,h2o,,,5.4,g/kg,,,45.3,,,,,380.9,1316,42.3,,,,2.69,0.382,425.8,mg/kg,0.769,L/mg,
76,76,Feng Liu,2013,Effect of a novel constructed drainage ditch on the P sorptio capacity of ditch soils in an agricultural headwater catachment in subtropical central China,,,,,Hunan,Changsha,0-5,,,ditch soils,,Anthrosols,,Inceptisols,Chinese soil system taxonomy,6.08,h2o,,,9.61,g/kg,,,34.5,,,,,289.1,1319,38.9,,,,4.64,0.386,431.1,mg/kg,0.444,L/mg,
77,77,Feng Liu,2013,Effect of a novel constructed drainage ditch on the P sorptio capacity of ditch soils in an agricultural headwater catachment in subtropical central China,,,,,Hunan,Changsha,5~15,,,ditch soils,,Anthrosols,,Inceptisols,Chinese soil system taxonomy,5.72,h2o,,,6.8,g/kg,,,47.3,,,,,280.8,995.2,27.1,,,,3.85,0.299,433.6,mg/kg,0.784,L/mg,
78,78,Feng Liu,2013,Effect of a novel constructed drainage ditch on the P sorptio capacity of ditch soils in an agricultural headwater catachment in subtropical central China,,,,,Hunan,Changsha,0-5,,,ditch soils,,Anthrosols,,Inceptisols,Chinese soil system taxonomy,6.26,h2o,,,12.1,g/kg,,,36.9,,,,,503.5,2711,59.8,,,,4.71,0.479,552,mg/kg,0.413,L/mg,
79,79,Feng Liu,2013,Effect of a novel constructed drainage ditch on the P sorptio capacity of ditch soils in an agricultural headwater catachment in subtropical central China,,,,,Hunan,Changsha,5~15,,,ditch soils,,Anthrosols,,Inceptisols,Chinese soil system taxonomy,6.63,h2o,,,4.51,g/kg,,,42.5,,,,,441.6,1334.4,22,,,,2.56,0.333,359.7,mg/kg,0.806,L/mg,
80,80,Feng Liu,2013,Effect of a novel constructed drainage ditch on the P sorptio capacity of ditch soils in an agricultural headwater catachment in subtropical central China,,,,,Hunan,Changsha,0-5,,,ditch soils,,Anthrosols,,Inceptisols,Chinese soil system taxonomy,6.17,h2o,,,6.56,g/kg,,,39.9,,,,,347.5,2758.6,48.7,,,,2.03,0.407,423.7,mg/kg,0.965,L/mg,
81,81,Feng Liu,2013,Effect of a novel constructed drainage ditch on the P sorptio capacity of ditch soils in an agricultural headwater catachment in subtropical central China,,,,,Hunan,Changsha,5~15,,,ditch soils,,Anthrosols,,Inceptisols,Chinese soil system taxonomy,6.27,h2o,,,4.96,g/kg,,,39.2,,,,,357.2,2016.4,29.5,,,,1.578,0.324,350.2,mg/kg,0.733,L/mg,
