ID,Name,CountyName,LAT,LON,SoilMaterials,parent_material,UseType,Landuse_code,HistoricalSoilType,CropType,pH,olsenP[mg/kg],CaCl2P[mg/l],oxalateFe[mg/kg],oxalateAl[mg/kg], oxalateP[mg/kg],TotalP[g/kg],SOM[g/kg],ClayContent[%], oxalateCa[mg/kg],Premoval[kg/ha],Pinput[kg/ha],,
102,,白水镇,112.02,26.44,第四纪红土,red soil of quantenary reath,upland,2,长期旱地,花生,7.37,8.88,0.075652842,1964.626,1843.142,271.468,0.663685455,11.34257187,13.29666667,38.884,5.27764,38.57,52.98634203,16.52696133
103,,白水镇,112.01,26.39,紫色页岩,purple shale,fruit,2,长期果园,橘子,7.76,6.8,0.037250384,990.09,707.462,203.744,0.218991201,5.359992271,1.81,29.176,12.0252,148.5,,
105,,白水镇,111.97,26.39,河流冲积物,river alluvium,upland,2,长期旱地,花生,5.93,3.585,0.044930876,3870.93,1154.886,492.164,0.692347786,8.304715759,1.171555556,54.4,0.548781,15.19,56.77122115,27.96532775
106,,白水镇,111.97,26.41,河流冲积物,river alluvium,paddy,1,长期水田,水稻,5.78,5.05,0.098694316,2344.246,1205.466,119.1,0.359703171,23.01936704,0.369666667,42.376,2.97284,27.89,44.11280632,8.709342716
107,,白水镇,111.98,26.43,河流冲积物,river alluvium,paddy,1,长期水田,水稻,5.74,10.555,0.033410138,4033.318,1101.714,113.564,0.34531342,14.77503064,15.1622,44.2,2.52631,15.12,57.19857555,6.404625996
109,,白水镇,111.95,26.42,第四纪红土,red soil of quantenary reath,upland,2,长期旱地,花生,5.59,2.165,0.037250384,1943.094,1642.45,94.488,0.456056381,11.67722761,32.35466667,49.084,4.37327,29.9,48.93463049,6.228717718
110,,白水镇,111.95,26.46,第四纪红土,red soil of quantenary reath,paddy,1,长期水田,水稻,6.84,2.195,0.064132104,5189.722,1156.956,212.038,0.465035658,28.29269441,5.351333333,31.798,3.42022,9.96,68.58595742,9.972792889
111,,凤凰乡,112,26.29,板页岩,slate shale,fruit,2,荒地,橘子,5.07,1.55,0.102534562,3655.602,2756.188,235.85,0.677959063,13.73483104,12.2405,50.158,3.04995,50.72,,
112,,凤凰乡,112.01,26.28,板页岩,slate shale,forest,3,,,5.56,0.965,0.033410138,3007.886,1861.328,141.89,0.470067001,12.11568715,6.4735,41.942,3.56018,52.35,,
113,,凤凰乡,111.98,26.28,河流冲积物,river alluvium,fruit,2,旱地,柚子,5.16,2.27,0.098694316,2585.15,1515.552,283.866,0.655493933,11.71370299,4.441166667,38.166,6.025,39.64,,
114,,凤凰乡,111.98,26.27,板页岩,slate shale,forest,3,水田,樟树,5.69,2.27,0.04109063,2276.398,988.66,88.07,0.263538787,13.03268378,1.8112,38.17,4.62903,51.68,39.33767445,7.22200227
115,,凤凰乡,111.99,26.27,板页岩,slate shale,forest,3,荒地,板栗,4.61,1.775,0.1140553,2591.59,2372.584,102.474,0.367874159,10.36124907,11.7535,37.874,3.89605,61.71,,
116,,凤凰乡,112,26.25,板页岩,slate shale,upland,2,长期旱地,红薯,5.33,28.93,0.033410138,2622.062,1732.768,334.234,0.825820504,11.93045691,3.8265,34.862,2.27022,97.84,56.7337294,19.00411281
117,,大江林场,111.98,26.23,板页岩,slate shale,forest,3,,,5.38,40.14,0.075652842,2848.666,1757.624,228.63,0.522896445,26.35515857,2.535666667,46.738,3.43489,66.36,,
118,,大江林场,111.97,26.24,河流冲积物,river alluvium,forest,3,,,4.74,5.105,0.044930876,841.542,1026.824,193.898,0.433370751,21.64182699,0.045666667,28.166,3.84934,65.39,,
120,,大江林场,111.97,26.23,板页岩,slate shale,forest,3,,,4.15,9.545,0.04109063,2574.406,2144.264,130.65,0.457104158,18.08039868,4.9708,31.822,3.90014,65.53,,
121,,大江林场,111.96,26.24,板页岩,slate shale,forest,3,,,5.21,9.13,0.1140553,1821.838,1283.14,209.01,0.61899535,11.50133688,3.992166667,29.606,4.25684,71.5,,
122,,大江林场,111.93,26.28,板页岩,slate shale,forest,3,,,5.05,18.405,0.029569892,1902.186,1512.188,70.746,0.30013394,12.04870004,3.058833333,45.526,4.47189,57.4,,
123,,大江林场,111.92,26.3,板页岩,slate shale,forest,3,,,4.5,23.2,0.06797235,3166.594,2910.152,153.702,0.433586573,27.84431589,13.35816667,38.998,4.60298,51.36,,
124,,大江林场,111.92,26.32,板页岩,slate shale,forest,3,,,4.71,2.765,0.04109063,2093.214,2386.588,79.078,0.211698267,19.03637048,6.091,35.922,4.47622,46.9,,
125,,大江林场,111.94,26.34,板页岩,slate shale,forest,3,,,4.77,4.445,0.075652842,1513.226,1247.932,144.166,0.412416241,15.35585258,6.243833333,22.354,4.273,52.22,,
126,,肖家村镇,112.03,26.34,第四纪红土,red soil of quantenary reath,teatree,3,荒地,茶树,4.4,4.66,0.14093702,1533.362,1682.252,16.522,0.30900238,14.38996524,22.59466667,27.986,0.196003,51.45,,
128,,白果市乡,112.02,26.14,花岗岩,red sandstone,teatree,3,荒地,茶叶,5.26,2.67,0.033410138,1518.222,1682.744,209.698,0.50142694,18.15883436,0.173,27.59,2.32305,58.13,,
129,,白果市乡,112.01,26.15,花岗岩,red sandstone,upland,2,长期旱地,玉米,5.52,5.345,0.225422427,841.91,1101.6,379.282,0.619118767,19.51522513,6.164666667,24.626,2.49859,29.36,28.70166896,42.62784594
130,,白果市乡,112.01,26.16,板页岩,slate shale,upland,2,长期旱地,红薯,6.11,2.33,0.037250384,2423.854,1434.128,151.682,0.463182926,15.39898676,0.818833333,38.374,1.42156,34.67,49.22093819,9.94082584
131,,白果市乡,112.03,26.17,花岗岩,red sandstone,forest,3,,,5.11,7.915,0.033410138,1052.03,1504.716,33.242,0.270860587,20.17391138,0.119166667,42.134,1.60116,34.16,,
132,,白果市乡,112,26.15,花岗岩,red sandstone,forest,3,,,5.39,17.34,0.125576037,1362.938,2837.128,130.782,0.25575372,22.47717835,0.535,31.462,1.56665,41.34,,
133,,白果市乡,112,26.16,花岗岩,red sandstone,upland,2,长期旱地,红薯,5.13,11.985,0.033410138,1959.698,3266.212,578.798,0.862390111,22.29471501,6.376,33.914,1.42166,57.95,80.3090728,23.24880935
134,,白果市乡,112.04,26.23,板页岩,slate shale,upland,2,长期旱地,红薯,4.67,1.44,0.091013825,2813.162,2233.728,491.014,0.907580205,25.06485823,7.995833333,37.766,1.42795,56.64,68.07382555,23.26762329
136,,金洞镇,112.08,26.27,板页岩,slate shale,forest,3,,,4.42,4.94,0.106374808,2627.842,2016.304,88.938,0.397065712,17.25520889,3.18825,36.378,4.4678,24.42,,
137,,金洞镇,112.09,26.26,板页岩,slate shale,upland,2,长期旱地,红薯,4.49,1.83,0.117895545,2319.538,1848.944,450.426,0.89545164,12.88633975,2.629333333,40.182,3.87662,19.66,56.2667761,25.82318017
138,,金洞镇,112.08,26.27,板页岩,slate shale,forest,3,,,4.86,1.595,0.033410138,1985.59,1374.192,83.29,0.411922674,12.96102608,0.438142857,42.186,4.5732,23.93,,
139,,晒北滩乡,112.14,26.16,花岗岩,red sandstone,upland,2,长期旱地,红薯,4.44,13.14,0.083333333,3677.386,2806.296,297.414,0.657326933,27.18025058,4.672285714,39.818,2.83718,49.11,86.80103434,11.05286368
140,QY,晒北滩乡,112.2,26.14,红砂岩,red sandstone,forest,3,,,5.6,23.425,0.04109063,2608.918,1683.372,162.282,0.52221959,28.05192258,1.439,30.182,2.50916,27.26,55.66644918,9.404054513
141,QY,晒北滩乡,112.18,26.15,红砂岩,red sandstone,forest,3,,,5.02,37.145,0.048771121,2543.866,1710.18,69.514,0.248609366,18.818488,4.161,41.942,2.57127,31.97,55.60116621,4.032985726
143,QY,小金洞乡,112.15,26.18,红砂岩,red sandstone,forest,3,,,4.75,4.07,0.04109063,638.846,959.18,68.706,0.219231371,21.80975684,0.086285714,29.41,2.72243,38.99,24.14975137,9.177413657
